Row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENDOU,291043.88519549114,2.283235594359511,0.5433733940915096,4.74355237470074,2.100026157858245e-06,2.5691449044120625e-05
ENDOV,4425472.374859257,0.00020002155615164667,0.0013995851580880993,-1.2938628773378649,0.19571278920283441,0.35489653492911516
ENG,59302504.460517064,1.8623999527891162,0.35007101234603105,1.7480812057341146,0.08044996688935815,0.1809378795717662
ENGASE,3744003.775499127,0.0006104940556861554,0.0017441558068782101,-1.2083034725408492,0.22693055325186928,0.3947971331249158
ENHO,5735968.520164685,-1.07991789676242,1.8913835103297518,-2.7900862723575015,0.0052693998437604965,0.019962810182266397
ENKUR,131451.0434017177,-3.8183983100816656e-06,0.001135292642151855,-1.525879344617344,0.12703991565033787,0.2559356600817564
ENO1,204073667.16052303,1.1627919224438505,0.4018517598568292,-1.7494496158263775,0.08021333081605596,0.18052242406467234
ENO1-AS1,359857.6287544742,-7.23724124858345e-05,0.0016315390706761758,0.7668088466247065,0.44319517575740164,0.6266697165602994
ENO2,16976122.277577795,-0.3497076497365412,0.3950612409159562,-4.26697101554236,1.981448912602357e-05,0.00017838919883785017
ENO3,1670271.275071079,3.1327391138747584e-05,0.0013457078810983091,-1.5913569924885778,0.11152925735538932,0.23210763034921691
ENO4,540680.1930914287,0.00025511618531346363,0.001467389457399766,-0.6800743927779352,0.4964573576468445,0.67402425121164
ENOPH1,22745231.372892454,-0.5025562375687879,0.34040581675594267,-3.018375808466753,0.002541335400798363,0.01097455901629842
ENOSF1,6139443.532882171,-0.00018781272289590282,0.0014295120204976728,-0.6670049723015783,0.5047689573495093,0.6815226481748174
ENOX1,1306728.6849083803,-6.581182672787099e-05,0.0014244456294218054,-0.19423994400828667,0.8459880076335211,0.9192867819507431
ENOX2,4638043.598366187,1.178632346862865e-05,0.0014711771117388083,0.5002381995994549,0.6169073638014547,0.7719247388449475
ENPEP,3314931.9626646508,8.990635512456613e-06,0.001652141233010685,1.682402067130624,0.0924909008285945,0.20184152813375358
ENPP1,12774861.287759524,-8.893991553302566e-05,0.001287773063870998,-2.376189846664147,0.017492460225698628,0.053585009414883526
ENPP2,38011690.94491631,4.5094230239332305,0.3775132998738493,9.336620861172547,9.945765658873914e-21,3.804011237046908e-18
ENPP3,1025296.2255273683,1.8279609673401893,0.5386536957773822,4.0844343266208805,4.418432012667542e-05,0.00035362674801906407
ENPP4,7394222.152319257,3.1159362945497738e-06,0.00157328987594255,1.2241618846783944,0.2208911645510121,0.3868464214343527
ENPP5,14293772.658981612,-0.39559050585504013,0.4304275896972817,-2.434418692487711,0.01491573049395054,0.04716799943873162
ENPP6,217422.78600791557,1.5778638793479736,0.46149812911462884,4.079623110276574,4.5108775717061165e-05,0.0003596171841887932
ENPP7,6098.341078613126,-2.388926097322806e-07,0.0011171422683518904,-0.8196549674270013,0.4124128286516269,0.5969347546448068
ENSA,64985384.73766031,0.45269061965507745,0.3905459019981703,-4.954393805281805,7.255612882326578e-07,1.022526253449581e-05
ENTHD1,30330.931027338993,-8.767826958032331e-08,0.0011144241762266944,-0.3633317443264883,0.7163570827129025,0.8397341449076863
ENTPD1,4686459.536918738,-0.00019699746439526318,0.0014912127817381972,0.19757245155841707,0.8433795903779775,0.9177316112670995
ENTPD2,7667438.365397824,4.056139098176165e-05,0.0012894799761394413,-1.729233850534604,0.08376725025318756,0.18663271246651175
ENTPD3,3070043.3806436965,-4.557124842912391e-05,0.0013080716602325857,-1.0525737390662977,0.2925363982322805,0.4728432882407446
ENTPD3-AS1,802974.0742111409,0.37729395021372547,0.3542772734966843,2.621164367895544,0.008763000094746546,0.03038507689995545
ENTPD4,8421536.66465513,-0.00027698795280999813,0.0014309241044904602,-1.4453559218232903,0.14835793763316488,0.2881338524506161
ENTPD5,7719959.508052869,-0.000274500187570685,0.0014068885142735931,-0.9750339288705056,0.329543430248614,0.5142427165040458
ENTPD6,33654706.36168566,-1.0865927372020974,0.28633161989224637,-5.235883249722281,1.6419772575648256e-07,2.8397649019675703e-06
ENTPD7,2140902.032306481,-1.1407537231530467,0.25282063855827147,-5.049706287719145,4.424898733224745e-07,6.65081382138904e-06
ENTPD8,455039.420159969,0.00012918864260639396,0.0010682320773100814,-2.109006379812865,0.0349440309520397,0.09335360754769963
ENY2,19110767.887338858,-0.6833579407252051,0.21941476103709234,-0.9130362247676193,0.36122348994810316,0.5466484594212495
EOMES,364455.4307519064,1.6485110384692888e-05,0.0014489422692983498,0.04479712221152485,0.9642690189344075,0.9825902228254941
EP300,15456148.296100637,-0.00029447811361675563,0.0015479656646727776,0.21264804278493055,0.8316014956161109,0.9104362371202105
EP400,6177081.183845111,0.00041425506488198594,0.0016329160143085206,0.040793681959158154,0.9674603762341436,0.984000932448673
EP400NL,1851849.9388128421,-0.00011384258319855294,0.0013250635338143213,-2.144885948441077,0.03196196698301867,0.08697094872329923
EPAS1,80491342.01415327,2.912222065720806,0.3504981674154572,5.752634413693765,8.786335810773795e-09,2.1522975772689026e-07
EPB41,8952423.896445584,-9.305592993554058e-06,0.0014064577014305717,-0.4554227478830705,0.6488051329577219,0.7943802274255721
EPB41L1,18456254.79763698,-0.0016719546783932515,0.0057655181534118465,-0.055138737013296066,0.9560279353968122,0.9774441720502784
EPB41L2,30000856.257656287,2.474632812152526,0.40427295233840077,3.969662237958207,7.19745862479749e-05,0.0005352227810694997
EPB41L3,12847661.349437797,1.1311163230663932,0.51389087745469,1.3366101602795812,0.18134992078705525,0.3348847593840083
EPB41L4A,7321083.383565329,-2.5311756633329608e-05,0.001535998067654261,0.9224934482164632,0.3562712462426434,0.5416241036292957
EPB41L4A-AS1,22407390.745242614,1.686046730188653,0.29674109470677024,3.0181496585226153,0.002543232738984674,0.010978287989950508
